iter	MultiClass
0	1.669438872
1	1.560460351
2	1.473732863
3	1.395455221
4	1.330134769
5	1.271021101
6	1.211390225
7	1.164272056
8	1.12688594
9	1.086310991
10	1.04886512
11	1.011700989
12	0.9781024456
13	0.9437653047
14	0.9163902545
15	0.8915876697
16	0.8725408017
17	0.8471963571
18	0.8255758038
19	0.8097142993
20	0.7913271986
21	0.7739410492
22	0.7613106066
23	0.7419118321
24	0.7249830128
25	0.712202743
26	0.6968621506
27	0.6846177003
28	0.6718130695
29	0.6604826065
30	0.6470594609
31	0.6391994615
32	0.6284720441
33	0.6147768113
34	0.602971825
35	0.5931454548
36	0.5848501676
37	0.5750196929
38	0.5660207825
39	0.5604228201
40	0.5501043866
41	0.5429977247
42	0.5391480941
43	0.5326657605
44	0.5249040764
45	0.515635887
46	0.5098845131
47	0.5034604162
48	0.4974092027
49	0.491365717
50	0.4827259261
51	0.4757345379
52	0.4696586057
53	0.462524308
54	0.4553148812
55	0.4496556868
56	0.4451320512
57	0.4378716948
58	0.4339572963
59	0.4285466837
60	0.4232717069
61	0.4185665715
62	0.4135639879
63	0.408804386
64	0.404276276
65	0.4008473357
66	0.3948457701
67	0.3918542734
68	0.3888679924
69	0.3857307144
70	0.3812641241
71	0.3776563235
72	0.3748070901
73	0.3704581815
74	0.3668528323
75	0.3606897156
76	0.3586271709
77	0.3545358934
78	0.3509982637
79	0.3485242216
80	0.345048726
81	0.3411663699
82	0.3372230904
83	0.3358152561
84	0.3308855284
85	0.3275117448
86	0.323007302
87	0.3199587163
88	0.3152248621
89	0.311056834
90	0.3070541856
91	0.3035931633
92	0.2992326323
93	0.2970116526
94	0.2949133881
95	0.2907136754
96	0.2881809045
97	0.2849550342
98	0.2826630954
99	0.2801800731
100	0.2774394087
101	0.2754466091
102	0.2721169465
103	0.2700786782
104	0.2676900445
105	0.2666716639
106	0.2652885047
107	0.2625258143
108	0.2599930507
109	0.258164262
110	0.2561472163
111	0.2547510355
112	0.2521178005
113	0.2500408772
114	0.2477094172
115	0.2468815231
116	0.2456597961
117	0.2430587854
118	0.2417202466
119	0.2395014617
120	0.2371848638
121	0.2347686944
122	0.2332851395
123	0.2313259547
124	0.2290782604
125	0.2263129748
126	0.2247943523
127	0.2231382602
128	0.2211099392
129	0.2199050479
130	0.2175009897
131	0.2157180463
132	0.2142405924
133	0.2130426801
134	0.2110872115
135	0.2096009253
136	0.2086677791
137	0.2066322674
138	0.2048930803
139	0.203065529
140	0.2019721489
141	0.2009235715
142	0.1995628775
143	0.1980863434
144	0.1964837629
145	0.1953581275
146	0.1942865674
147	0.1936474031
148	0.1921403322
149	0.1909381795
150	0.1896482841
151	0.1886128406
152	0.1877560286
153	0.1866578148
154	0.1851495427
155	0.183832427
156	0.1824077682
157	0.1811370608
158	0.1792993101
159	0.1773624743
160	0.1756260744
161	0.1738735533
162	0.1728290828
163	0.1713682711
164	0.1703946751
165	0.1697324071
166	0.1681839346
167	0.1672646824
168	0.1663616602
169	0.1656414269
170	0.1642632866
171	0.1627806033
172	0.1617240302
173	0.1605793101
174	0.159509345
175	0.1578946632
176	0.1568314614
177	0.1557153576
178	0.1547129793
179	0.1542487376
180	0.1533597101
181	0.1527544799
182	0.1520637664
183	0.1509520934
184	0.1495252109
185	0.1482606919
186	0.147641398
187	0.1465584778
188	0.1454949497
189	0.1447549603
190	0.1433365919
191	0.1424272311
192	0.1416632951
193	0.1405049639
194	0.1396595258
195	0.1386426994
196	0.1380492343
197	0.137381897
198	0.1368609477
199	0.1361668557
200	0.1354214845
201	0.1345602267
202	0.1335479961
203	0.1328423426
204	0.1321121473
205	0.1315321499
206	0.1309898636
207	0.1298428524
208	0.1287339086
209	0.1281571452
210	0.1277987499
211	0.1272111642
212	0.1263655648
213	0.1257061136
214	0.1253194087
215	0.1246693235
216	0.1239058986
217	0.1232692364
218	0.1221800114
219	0.1218064328
220	0.1211844384
221	0.1202518895
222	0.119637672
223	0.1189125434
224	0.1179513968
225	0.1176052614
226	0.1170531211
227	0.1162582368
228	0.1154937105
229	0.1147612548
230	0.1145976967
231	0.1142123981
232	0.1136529246
233	0.1128147402
234	0.1119739127
235	0.1113795393
236	0.1110205948
237	0.1103927534
238	0.1098140861
239	0.1096035698
240	0.108760859
241	0.108256933
242	0.1079073418
243	0.1074635582
244	0.1069940764
245	0.1067237168
246	0.1063471823
247	0.1061410683
248	0.1054553583
249	0.1045614445
250	0.1043483734
251	0.1039228464
252	0.1034345431
253	0.1029376763
254	0.102153381
255	0.1015961171
256	0.1010841986
257	0.1005183771
258	0.1000050828
259	0.09962803293
260	0.09876621476
261	0.09842648566
262	0.09824298658
263	0.09778836776
264	0.09733026063
265	0.09686036289
266	0.09611929084
267	0.09580416434
268	0.09546285546
269	0.09508030472
270	0.09476039345
271	0.09428720871
272	0.09398079687
273	0.09369717024
274	0.09315891885
275	0.09296536483
276	0.09257578631
277	0.09212761654
278	0.09184980582
279	0.09131618633
280	0.09082904067
281	0.09044978946
282	0.09015285414
283	0.08968167491
284	0.08933328007
285	0.08898711654
286	0.08833474671
287	0.08783448672
288	0.08729952593
289	0.08668248572
290	0.08642532208
291	0.08606635115
292	0.08595154032
293	0.08551477328
294	0.08539458206
295	0.08520864583
296	0.08473751147
297	0.08422019505
298	0.08373790751
299	0.08321134403
300	0.08288125744
301	0.08233746974
302	0.08198840672
303	0.08166316558
304	0.08118956514
305	0.08071538611
306	0.08031779011
307	0.07977853707
308	0.07950124104
309	0.0791833743
310	0.07869177546
311	0.07832706713
312	0.07781518857
313	0.07750755463
314	0.07718274605
315	0.07686572831
316	0.07662937386
317	0.07639382227
318	0.07597251856
319	0.07555102936
320	0.07537420948
321	0.07507267922
322	0.07462435001
323	0.07445322569
324	0.07420413121
325	0.07394513667
326	0.07350806944
327	0.07325082452
328	0.07297149377
329	0.07246545448
330	0.07205359443
331	0.07194051981
332	0.07161099487
333	0.07139037327
334	0.07120297402
335	0.07088631446
336	0.0705474598
337	0.07023105944
338	0.07015599464
339	0.06973190113
340	0.06942161485
341	0.06936127611
342	0.068955785
343	0.06865707733
344	0.06839219559
345	0.06815844721
346	0.06799364464
347	0.06784950162
348	0.06762000373
349	0.06738267726
350	0.06693443129
351	0.06662305408
352	0.06636988646
353	0.066088788
354	0.06591852195
355	0.06575130354
356	0.06558598795
357	0.0653477129
358	0.06516072954
359	0.0647040335
360	0.0644119031
361	0.06425170042
362	0.06402137126
363	0.06379681459
364	0.06351733258
365	0.06321175348
366	0.06303223273
367	0.0627907434
368	0.06268123631
369	0.06249018652
370	0.06210951628
371	0.06181371123
372	0.06155072341
373	0.06118488079
374	0.06096280032
375	0.06086565407
376	0.06069396659
377	0.06056231076
378	0.06034302948
379	0.06009439917
380	0.05980497625
381	0.05964008914
382	0.05950815798
383	0.05938832618
384	0.05922125286
385	0.05902443297
386	0.05887971449
387	0.05859325531
388	0.05833475823
389	0.05813887255
390	0.05799792868
391	0.05783212741
392	0.0575697899
393	0.05741382103
394	0.05718028454
395	0.05697147102
396	0.05688049781
397	0.05663401077
398	0.05640756572
399	0.05610808934
400	0.05582735414
401	0.05566954758
402	0.05553125477
403	0.05529742459
404	0.05517289612
405	0.05507619468
406	0.05486063506
407	0.05462956636
408	0.05445738256
409	0.05440807218
410	0.05423479439
411	0.05401421147
412	0.05384274081
413	0.05361050656
414	0.05351533272
415	0.05340387929
416	0.05327771824
417	0.05315964143
418	0.05289928852
419	0.05270197544
420	0.05239300895
421	0.05228364549
