jing,ceng,wei,DEPT,SP,PE,CAL,GR,U,TH,K,AC,CNL,DEN,RLLS,RLLD,LABEL
17,37,1-盒8上,4035.891,50.4475,2.3938,23.5217,55.1405,1.621,10.5002,0.7292,204.636,7.2406,2.5757,29.1812,41.5525,1
17,37,1-盒8上,4036.016,50.2388,2.4068,22.931,41.4823,1.379,8.8085,0.6368,205.0584,6.6496,2.6065,26.4844,37.045,1
17,37,1-盒8上,4036.141,50.0763,2.4205,22.7499,32.4011,1.1497,7.2578,0.5607,206.1325,6.2717,2.5979,24.5695,33.5688,1
17,37,1-盒8上,4036.266,49.9719,2.4076,22.857,30.9775,0.9772,6.0582,0.5071,208.1038,5.9466,2.5815,22.7209,30.5108,1
17,37,1-盒8上,4036.391,49.9242,2.3458,22.9018,28.5753,0.8875,5.2278,0.4771,210.6322,5.926,2.5721,21.0355,27.8035,1
17,37,1-盒8上,4036.516,49.9292,2.2702,22.8586,25.5721,0.8566,4.6974,0.4668,213.2395,6.2154,2.5611,19.9807,25.8372,1
17,37,1-盒8上,4036.641,49.9785,2.2641,22.8235,26.8343,0.8488,4.3517,0.4648,216.0019,6.5137,2.5466,19.5627,25.3044,1
17,37,1-盒8上,4036.766,50.0374,2.3283,22.8445,30.5961,0.8761,4.2757,0.485,217.2688,6.7661,2.5367,20.3625,26.4066,1
17,37,1-盒8上,4036.891,50.0914,2.3815,22.9134,35.5714,0.9507,4.6764,0.5596,215.6552,7.1052,2.5334,22.6473,29.0092,1
17,37,1-盒8上,4037.016,50.1388,2.3618,22.9281,42.8042,1.0814,5.5736,0.6966,213.2114,7.8986,2.533,25.7666,32.1553,1
17,37,1-盒8上,4037.141,50.1958,2.2984,22.8929,50.9146,1.228,6.6334,0.8645,210.3673,8.94,2.5383,28.7374,34.6466,1
17,37,1-盒8上,4037.266,50.26,2.2712,22.9491,60.9713,1.2858,7.2951,0.9996,206.7938,9.6235,2.5522,29.9667,35.1804,1
17,37,1-盒8上,4037.391,50.3099,2.2958,23.0423,71.4172,1.2657,7.5276,1.0786,205.3195,10.3222,2.5671,28.1391,33.2925,1
17,37,1-盒8上,4037.516,50.328,2.3531,23.1279,70.6362,1.2424,7.6335,1.1384,207.3455,10.9017,2.5755,25.1629,30.4695,1
17,37,1-盒8上,4037.641,50.3094,2.4078,23.3601,57.181,1.3747,8.4478,1.2999,212.0798,10.8468,2.5803,22.7881,28.347,1
17,37,1-盒8上,4037.766,50.25,2.4417,23.6474,45.06,1.7125,10.2728,1.6065,215.2959,10.1575,2.5776,21.8529,28.015,1
17,37,1-盒8上,4037.891,50.1329,2.4562,23.9838,39.0296,2.2161,12.6107,1.9984,215.8196,9.3833,2.5592,22.4354,29.4801,1
17,37,1-盒8上,4038.016,49.9189,2.4929,24.0577,37.2776,2.7209,14.5845,2.3448,213.5713,9.0321,2.536,24.2959,32.6675,1
17,37,1-盒8上,4038.141,49.622,2.5733,24.026,37.5142,3.0636,15.662,2.5615,209.3573,8.6675,2.5354,27.0324,36.719,1
17,37,1-盒8上,4038.266,49.2765,2.691,23.8568,36.8881,3.2114,15.973,2.6836,204.0136,8.0115,2.5629,30.0157,40.2304,1
17,37,1-盒8上,4038.391,48.9288,2.8316,23.6754,35.1621,3.2004,16.0422,2.7778,198.7366,7.725,2.5813,31.3295,41.2515,1
17,37,1-盒8上,4038.516,48.6096,2.977,23.4438,39.2712,3.1293,16.2057,2.8984,196.5692,8.6381,2.5653,31.8338,41.1977,1
17,37,1-盒8上,4038.641,48.3395,3.0744,23.6014,54.3902,3.1256,16.6952,3.0785,200.7571,11.1361,2.5386,32.1712,40.3765,1
22,40,2-盒8下,4151.625,-15.5432,2.5726,24.5962,49.4144,4.2176,11.1998,1.5132,220.9213,37.7537,2.5642,107.1294,146.3146,1
22,40,2-盒8下,4151.75,-15.8178,2.495,24.3968,31.946,3.1656,8.1184,1.0957,214.3923,29.556,2.5635,115.6621,163.1992,1
22,40,2-盒8下,4151.875,-16.0226,2.3304,24.3452,31.158,2.2351,5.4093,0.7293,212.6532,19.8403,2.5744,115.1297,162.3781,1
22,40,2-盒8下,4152,-16.214,2.1686,24.3217,33.5509,1.7678,3.9551,0.53,211.8276,14.8069,2.5591,112.8685,158.1806,1
22,40,2-盒8下,4152.125,-16.3234,2.1141,24.3187,34.1926,1.6552,3.3888,0.4497,213.1665,13.7646,2.5379,109.8886,151.7079,1
22,40,2-盒8下,4152.25,-16.4172,2.1627,24.3197,34.5002,1.7128,3.2763,0.4357,214.918,14.2641,2.5195,106.7716,144.8015,1
22,40,2-盒8下,4152.375,-16.4348,2.1929,24.3259,31.6498,1.7735,3.3159,0.4493,216.5553,14.361,2.5135,104.5549,139.8173,1
22,40,2-盒8下,4152.5,-16.4379,2.1595,24.3331,28.1971,1.7578,3.3581,0.4698,218.1708,13.6867,2.5163,102.5098,135.1998,1
22,40,2-盒8下,4152.625,-16.3668,2.0736,24.3384,27.7973,1.7057,3.4127,0.4938,219.087,13.1842,2.521,101.2382,133.0317,1
22,40,2-盒8下,4152.75,-16.2816,2.0169,24.3433,27.9796,1.6221,3.4151,0.5053,219.8697,13.1154,2.526,100.1141,131.3308,1
22,40,2-盒8下,4152.875,-16.1077,2.0259,24.3358,30.8224,1.5102,3.3597,0.4905,219.8676,13.0067,2.5328,99.0717,130.6031,1
22,40,2-盒8下,4153,-15.9169,2.0449,24.326,34.1725,1.4386,3.4695,0.4808,219.7158,13.063,2.5352,98.0449,130.061,1
22,40,2-盒8下,4153.125,-15.6343,2.0213,24.3315,35.8957,1.3859,3.6873,0.4804,218.912,13.2597,2.5265,94.9593,127.367,1
22,40,2-盒8下,4153.25,-15.3341,1.9981,24.3399,37.3087,1.3396,3.8424,0.472,217.984,13.4266,2.5166,91.4811,124.2627,1
22,40,2-盒8下,4153.375,-14.9704,2.0957,24.3538,36.1186,1.3402,3.967,0.4732,217.5658,13.0851,2.5137,86.7537,119.9197,1
22,40,2-盒8下,4153.5,-14.5946,2.3385,24.3686,34.4322,1.3783,3.9906,0.4713,217.2449,12.6964,2.5144,81.7881,115.3405,1
22,40,2-盒8下,4153.625,-14.1265,2.5638,24.3377,33.942,1.4413,3.9184,0.4652,217.5243,12.8184,2.5142,80.4083,114.9698,1
22,40,2-盒8下,4153.75,-13.6409,2.5664,24.2981,33.6799,1.5065,3.9402,0.4829,217.9183,13.1559,2.5132,79.7122,115.4017,1
22,40,2-盒8下,4153.875,-13.0691,2.3884,24.2235,34.8533,1.5184,3.9667,0.4995,216.5453,13.2989,2.5205,83.9281,121.1181,1
22,40,2-盒8下,4154,-12.4809,2.3632,24.1422,36.3004,1.472,3.9061,0.5067,214.8353,13.6767,2.5443,89.0807,127.8422,1
22,40,2-盒8下,4154.125,-11.8388,2.5452,24.1652,37.4127,1.3953,3.7473,0.5087,212.3438,14.4728,2.5911,96.3325,134.9412,1
22,40,2-盒8下,4154.25,-11.1852,2.7675,24.2082,38.463,1.2836,3.6325,0.508,209.6979,14.6458,2.636,103.9995,142.1257,1
22,40,2-盒8下,4154.375,-10.5681,2.9337,24.3126,44.9981,1.1923,3.725,0.5275,211.848,13.9973,2.644,105.178,138.0622,1
22,40,2-盒8下,4154.5,-9.9576,3.0535,24.4285,52.5644,1.1727,4.1384,0.5896,214.8984,13.8798,2.5669,105.1398,131.8874,1
23,44,2-盒8下,4484.068,43.1587,2.3378,24.1852,72.8165,1.5164,4.95,2.4451,210.554,5.4524,2.5518,34.3535,41.767,1
23,44,2-盒8下,4484.193,43.8103,2.4033,24.166,72.6772,1.4192,5.6421,2.5535,206.5224,5.7663,2.5579,32.5023,38.9886,1
23,44,2-盒8下,4484.318,44.4273,2.3883,24.6329,70.1498,1.2342,6.592,2.6552,206.9758,6.0737,2.5664,30.4063,35.8938,1
23,44,2-盒8下,4484.443,44.9733,2.3388,25.251,68.5126,0.9628,7.9454,2.8009,209.7963,6.4596,2.5663,28.9087,33.644,1
23,44,2-盒8下,4484.568,45.4013,2.3438,25.4847,71.5087,0.7547,8.9994,2.9139,213.2025,6.9045,2.56,28.296,32.6226,1
23,44,2-盒8下,4484.693,45.7022,2.4505,25.1674,78.9138,0.6304,10.0268,3.0043,217.529,7.2398,2.5533,27.9254,31.9975,1
23,44,2-盒8下,4484.818,45.8614,2.6299,24.4885,87.3615,0.5193,11.7046,3.1291,221.2798,7.3957,2.5456,27.2895,31.1815,1
23,44,2-盒8下,4484.943,45.8763,2.7898,23.9073,91.0501,0.4323,13.2662,3.2331,222.5728,7.457,2.5385,26.379,30.2115,1
23,44,2-盒8下,4485.068,45.7706,2.8483,23.7291,88.1156,0.446,13.3293,3.2446,223.8216,7.5228,2.5352,25.6408,29.5631,1
23,44,2-盒8下,4485.193,45.5501,2.7848,24.1094,81.1036,0.631,11.4411,3.1548,226.4088,7.5761,2.5323,25.5158,29.6553,1
23,44,2-盒8下,4485.318,45.233,2.6522,24.7799,75.9148,0.9179,8.6602,2.9903,228.1489,7.6636,2.5268,26.0847,30.4875,1
23,44,2-盒8下,4485.443,44.838,2.5301,25.3514,73.8555,1.1086,6.9122,2.8677,228.6327,7.8124,2.5226,27.0278,31.6298,1
23,44,2-盒8下,4485.568,44.3721,2.4471,25.6958,72.1912,1.1421,6.601,2.8437,228.0372,7.94,2.5212,27.865,32.4355,1
23,44,2-盒8下,4485.693,43.8582,2.3767,26.0706,67.8194,1.1698,6.2911,2.7952,225.8154,7.8402,2.5216,28.2586,32.5708,1
23,44,2-盒8下,4485.818,43.3183,2.292,26.5723,61.3123,1.2449,5.19,2.6152,222.8838,7.3904,2.525,28.2982,32.3411,1
23,44,2-盒8下,4485.943,42.7751,2.1993,26.972,55.856,1.2022,4.397,2.4777,220.4564,6.6994,2.5307,28.4754,32.6138,1
23,44,2-盒8下,4486.068,42.2582,2.1335,27.1273,53.2088,1.0738,4.2178,2.4478,217.0452,6.1868,2.5358,29.1846,33.8229,1
23,44,2-盒8下,4486.193,41.7948,2.1128,27.0947,53.598,1.0153,4.2409,2.4562,212.132,6.1029,2.5419,30.3789,35.7089,1
23,44,2-盒8下,4486.318,41.4279,2.1355,26.8594,55.6742,1.0303,4.2286,2.4336,209.6233,6.4555,2.5516,31.6945,37.6124,1
23,44,2-盒8下,4486.443,41.1911,2.1662,26.4878,56.7073,1.0665,4.3023,2.3834,208.7269,6.8551,2.5578,32.9538,39.3612,1
23,44,2-盒8下,4486.568,41.1456,2.1773,26.1975,55.0019,1.0841,4.3058,2.3552,207.3813,7.024,2.5598,34.2394,41.1976,1
23,44,2-盒8下,4486.693,41.3612,2.1579,26.2149,51.5749,1.1133,4.04,2.3419,206.1709,6.9128,2.5624,35.5186,43.1291,1
23,44,2-盒8下,4486.818,41.8739,2.1255,26.4349,49.1328,1.1606,3.6038,2.3241,205.9666,6.7329,2.5652,36.4061,44.4903,1
23,44,2-盒8下,4486.943,42.7624,2.0972,26.6306,49.6307,1.2017,3.3398,2.3078,205.8282,6.6294,2.566,36.3521,44.2969,1
23,44,2-盒8下,4487.068,44.0431,2.0862,26.6745,52.2951,1.2421,3.2495,2.3137,205.4717,6.668,2.5663,35.4072,42.5822,1
23,44,2-盒8下,4487.193,45.6949,2.0973,26.5443,55.0787,1.3087,3.4214,2.3217,206.2566,6.7953,2.567,34.1993,40.3908,1
23,44,2-盒8下,4487.318,47.719,2.1379,26.213,56.0558,1.3887,3.9187,2.3017,208.1387,6.9577,2.565,33.5685,39.0889,1
23,44,2-盒8下,4487.443,50.0068,2.212,25.7129,56.9809,1.4361,4.4021,2.2741,209.3055,7.2826,2.5604,33.7559,39.0503,1
23,44,2-盒8下,4487.568,52.478,2.3342,25.1254,63.0589,1.4707,4.7582,2.2428,210.6607,8.0479,2.5568,34.4508,39.7948,1
23,44,2-盒8下,4487.693,55.0479,2.5671,24.7356,83.7432,1.7154,6.1155,2.1846,214.4063,9.6293,2.5539,34.8066,40.1279,1
23,44,2-盒8下,4487.818,57.6186,2.9745,24.7218,118.7684,2.4225,9.495,2.1658,219.0068,12.1084,2.5473,34.0296,38.9778,1
23,44,2-盒8下,4487.943,60.1196,3.4081,24.9817,158.9065,3.3992,14.7894,2.4654,222.8465,15.4547,2.5382,31.8402,35.9985,1
25,52,2-盒8下,4374.133,52.9176,2.8309,26.7683,52.6664,2.3704,8.2321,1.2979,228.9707,9.1286,2.1458,33.3498,36.5306,1
25,52,2-盒8下,4374.258,52.6906,2.822,27.0082,43.4253,2.0978,7.4066,1.1714,224.3595,9.2322,2.1628,47.9005,51.6202,1
25,52,2-盒8下,4374.383,52.5466,2.9201,27.478,42.6482,1.8451,6.5602,1.0405,218.3282,8.5427,2.2099,65.7289,68.6526,1
25,52,2-盒8下,4374.508,52.461,3.0169,27.7149,47.1619,1.7781,6.1925,1.0045,212.8844,7.5861,2.2699,79.4841,80.474,1
25,52,2-盒8下,4374.633,52.4209,2.9831,27.2982,56.0404,1.781,6.0879,1.0246,208.7376,7.3486,2.3268,79.1411,78.8468,1
25,52,2-盒8下,4374.758,52.4076,2.8001,26.4038,63.9601,1.779,6.013,1.0304,206.0601,7.461,2.3565,67.097,67.8092,1
25,52,2-盒8下,4374.883,52.3978,2.5383,25.6401,66.3108,1.7835,5.8034,1.0396,205.4392,8.1031,2.3483,53.2976,55.6765,1
25,52,2-盒8下,4375.008,52.3729,2.2846,25.3755,62.0949,1.7708,5.6849,1.0667,208.1695,8.9582,2.3207,42.8103,47.0201,1
25,52,2-盒8下,4375.133,52.3199,2.0962,25.5754,57.6633,1.7535,5.6006,1.0891,214.4831,9.3701,2.2813,36.7968,42.0514,1
25,52,2-盒8下,4375.258,52.2315,1.9649,26.4448,56.5421,1.7677,5.6879,1.1266,221.8264,9.8228,2.214,34.8394,40.1685,1
25,52,2-盒8下,4375.383,52.094,1.9159,27.4687,58.922,1.8978,6.2131,1.277,228.2555,10.7848,2.1644,36.1036,40.4124,1
25,52,2-盒8下,4375.508,51.9076,1.9724,28.428,62.0616,1.9363,6.6138,1.4318,231.1585,11.286,2.1716,38.5452,40.9945,1
25,52,2-盒8下,4375.633,51.6792,2.0864,28.5062,60.1198,1.9497,6.7277,1.4853,231.7986,10.44,2.1886,40.8161,41.2385,1
25,52,2-盒8下,4375.758,51.4244,2.1642,28.4765,54.7337,1.9602,7.0479,1.6159,230.3439,9.9874,2.1632,42.104,41.4412,1
25,52,2-盒8下,4375.883,51.1701,2.1853,28.3135,54.7319,1.8853,7.0647,1.6536,228.4835,10.1853,2.1297,42.1078,41.9592,1
25,52,2-盒8下,4376.008,50.9355,2.1932,28.3159,60.6468,1.7646,6.7379,1.5566,227.2164,11.0173,2.1135,41.0701,42.5333,1
25,52,2-盒8下,4376.133,50.7453,2.1812,28.3719,63.3099,1.7331,6.6205,1.4952,226.2984,12.5701,2.089,40.6259,43.6737,1
25,52,2-盒8下,4376.258,50.6063,2.1694,28.7536,61.1938,1.7273,6.6046,1.4502,224.6334,12.8953,2.0294,41.3433,45.6073,1
25,52,2-盒8下,4376.383,50.5266,2.2134,28.9867,61.5829,1.6985,6.4345,1.3431,222.6791,13.0558,2.0017,43.0458,48.3677,1
25,53,2-盒8下,4376.758,50.6506,2.4901,26.1437,70.8767,1.5984,6.6205,1.1849,211.4886,13.0737,2.221,51.4887,58.4927,1
25,53,2-盒8下,4376.883,50.8009,2.6081,24.7838,78.9992,1.6125,6.9291,1.17,205.3858,13.116,2.4162,52.3821,59.6046,1
25,53,2-盒8下,4377.008,51.0012,2.6663,23.794,83.2351,1.7139,7.483,1.194,201.1948,13.6612,2.5833,52.0188,59.4415,1
25,53,2-盒8下,4377.133,51.2517,2.666,23.724,81.712,1.7428,7.7026,1.2175,198.6991,13.8821,2.6324,50.5829,58.0553,1
29,44,2-盒8下,4311.56,55.0107,2.5916,23.8796,71.8905,4.0579,9.23,1.1722,213.9696,6.6003,2.6321,57.107,67.0567,1
29,44,2-盒8下,4311.685,54.6586,2.5045,23.8911,58.4297,3.7528,8.7226,1.1282,215.2831,6.341,2.6198,59.6866,70.7176,1
29,44,2-盒8下,4311.81,54.3885,2.4893,23.9282,50.188,3.2481,7.5584,1.0235,215.2087,6.0257,2.5971,64.3976,77.3149,1
29,44,2-盒8下,4311.935,54.1884,2.5554,24.3965,46.2137,2.5883,6.0717,0.8856,215.1936,5.6444,2.5604,69.9416,85.2832,1
29,44,2-盒8下,4312.06,54.0456,2.6514,24.8359,43.1849,2.2236,5.1477,0.807,215.0375,5.7432,2.5485,77.0226,94.6003,1
29,44,2-盒8下,4312.185,53.9409,2.7187,25.1215,40.1232,2.062,4.4793,0.7527,214.3181,5.7613,2.562,85.3373,104.6784,1
29,44,2-盒8下,4312.31,53.8637,2.6802,25.1402,40.7148,2.0145,4.2119,0.7424,213.7957,5.7823,2.5379,91.1976,112.1617,1
29,44,2-盒8下,4312.435,53.7998,2.5209,25.6366,43.2221,2.0841,4.1621,0.7608,214.566,6.0631,2.4676,92.2661,116.0471,1
29,44,2-盒8下,4312.56,53.7385,2.3035,26.5174,44.3225,2.1775,4.177,0.7821,216.1125,6.1451,2.3738,92.6594,119.0123,1
