jing,ceng,wei,DEPT,SP,PE,CAL,GR,U,TH,K,AC,CNL,DEN,RLLS,RLLD,LABEL
47,47,盒8下,3701.3,51.9,3.8,15.6,99.9,2.3,11,1.3,210.1,7.6,2.6,47.5,49.4,1
47,47,盒8下,3701.5,51.2,3.8,15.6,84.2,2.6,9,1.1,211.2,6.6,2.6,46.9,48.7,1
47,47,盒8下,3701.6,50.5,4,15.6,71.2,2.9,8.1,0.8,212.4,5.8,2.6,45.5,47.3,1
47,47,盒8下,3701.7,49.8,4.1,15.6,65,3.1,7,0.7,213.5,5.4,2.6,43.6,45.8,1
47,47,盒8下,3701.8,49.2,4.1,15.7,62.4,3.3,6,0.5,214.6,5.2,2.6,41.7,44.2,1
47,47,盒8下,3702,48.6,4,15.7,60.7,3.3,5.2,0.5,215.1,5.2,2.6,40.3,42.8,1
47,47,盒8下,3702.1,48.2,3.9,15.6,58.9,3.3,4.5,0.5,215.1,5.2,2.6,39.4,42,1
47,47,盒8下,3702.2,48,3.9,15.6,57.4,3.2,4,0.7,214.5,5.2,2.6,38.8,41.3,1
47,47,盒8下,3702.3,47.9,4,15.5,57.3,3.1,3.6,0.9,213.9,5.4,2.6,38.2,40.8,1
47,47,盒8下,3702.5,47.9,4.1,15.5,60.1,3,3.7,1,213.3,5.7,2.5,37.7,40.6,1
47,47,盒8下,3702.6,48,4.2,15.5,64.9,2.8,4.3,1.1,212.6,6,2.5,37.7,40.8,1
47,47,盒8下,3702.7,48.1,4.3,15.5,67.9,2.6,5.2,1.2,211.3,6.1,2.5,38.4,41.9,1
47,47,盒8下,3702.8,48.1,4.2,15.5,67.5,2.1,6.2,1.2,209.1,5.9,2.5,39.8,43.8,1
47,47,盒8下,3703,48.1,4.2,15.5,63.9,1.7,6.8,1.2,206.4,5.5,2.5,41.8,46.3,1
47,47,盒8下,3703.1,47.9,4,15.5,58,1.2,7.1,1.2,204,4.9,2.5,43.8,48.7,1
47,47,盒8下,3703.2,47.6,3.9,15.5,52.7,1,6.8,1.2,202.8,4.5,2.5,45.3,50.4,1
47,47,盒8下,3703.3,47.2,3.9,15.5,49.9,1.1,6.2,1.1,202.8,4.3,2.5,45.8,50.9,1
47,47,盒8下,3703.5,46.7,3.8,15.5,49.3,1.5,5.4,1,203.6,4.4,2.5,45.3,50.4,1
47,47,盒8下,3703.6,46.2,3.8,15.5,50.3,2.1,4.6,0.8,205,4.5,2.5,44,48.9,1
47,47,盒8下,3703.7,45.8,3.9,15.5,52.2,2.6,3.9,0.6,207,4.6,2.5,42.2,47.1,1
47,47,盒8下,3703.8,45.4,3.9,15.5,53.1,3,3.5,0.5,209,4.6,2.5,40.4,45.2,1
47,47,盒8下,3704,45.2,3.9,15.5,52.5,2.9,3.7,0.5,210.5,4.6,2.5,39,43.7,1
47,47,盒8下,3704.1,45,3.9,15.5,50.8,2.6,4.1,0.5,211.4,4.5,2.5,38.1,42.7,1
47,47,盒8下,3704.2,44.9,3.9,15.5,49,2.2,4.6,0.5,211.6,4.4,2.5,37.7,42.2,1
47,47,盒8下,3704.3,45,3.9,15.5,47.8,1.8,5.1,0.5,211.5,4.2,2.5,37.7,42.3,1
47,47,盒8下,3704.5,45.2,3.9,15.6,46.8,1.6,5.4,0.5,211.5,4.1,2.5,38.1,42.7,1
47,47,盒8下,3704.6,45.6,3.9,15.6,45.4,1.8,5.4,0.5,211.2,4.1,2.5,38.8,43.6,1
47,47,盒8下,3704.7,46.2,3.8,15.6,44.7,2.2,5,0.4,210.5,4.1,2.5,39.9,45,1
47,47,盒8下,3704.8,46.9,3.8,15.6,46.9,2.6,4.6,0.4,209.2,4.2,2.5,41.4,46.7,1
47,47,盒8下,3705,47.8,3.9,15.6,50.8,2.8,4.5,0.4,207.6,4.3,2.6,43.2,48.8,1
47,47,盒8下,3705.1,48.8,4,15.6,54.5,3,4.2,0.4,205.9,4.4,2.6,45.4,51.4,1
47,47,盒8下,3705.2,49.9,4.1,15.6,55.9,2.9,4.1,0.5,204.7,4.3,2.6,48.3,54.6,1
47,47,盒8下,3705.3,50.9,4,15.6,54.5,2.8,4.2,0.6,204.1,4.3,2.6,51.3,57.6,1
47,47,盒8下,3705.5,51.9,3.9,15.6,52.3,2.7,4.2,0.7,204.1,4.4,2.6,53.9,60,1
47,47,盒8下,3705.6,52.8,3.8,15.6,53,2.6,4.2,0.8,204.1,4.7,2.6,55.3,61.2,1
47,47,盒8下,3705.7,53.7,3.8,15.6,58.8,2.6,4.8,1,203.6,5.4,2.6,54.9,60.6,1
47,47,盒8下,3705.8,54.6,3.8,15.6,71.2,3.2,6.5,1.2,202.8,6.2,2.6,53.6,59,1
47,48,山1,3712.8,61.3,5.4,15.4,116.9,3.5,10.5,1.6,216.7,12.3,2.6,62.3,61.8,4
47,48,山1,3713,60.9,5.1,15.4,89.1,3.1,7.8,1,211.2,9.1,2.6,62.3,59.5,4
47,48,山1,3713.1,60.4,4.9,15.5,64.6,2.8,6.7,0.8,209.3,7.2,2.6,55.3,50.2,4
47,48,山1,3713.2,60.1,4.6,15.4,51.7,2.7,5.8,0.6,212.7,6.2,2.6,45,39.4,4
47,48,山1,3713.3,59.9,4.4,15.5,48.6,2.6,5.2,0.6,218.6,5.8,2.6,36.1,31.4,4
47,48,山1,3713.5,59.8,4.3,15.6,50.9,2.7,5.1,0.6,224.5,6.1,2.6,30.5,27,4
47,48,山1,3713.6,60,4.4,15.7,56.1,3.2,5.4,0.7,229,7.2,2.6,28.2,25.7,4
