jing,ceng,wei,DEPT,SP,PE,CAL,GR,U,TH,K,AC,CNL,DEN,RLLS,RLLD,LABEL
37,53,2-盒8下,3894.2119,48.6606,2.8625,28.8962,54.3674,1.8706,8.5773,1.2564,220.9787,10.1291,2.3573,43.6939,50.9894,1
37,53,2-盒8下,3894.3369,48.038,2.7962,29.1797,44.4733,1.6415,7.079,1.0747,221.5957,10.9795,2.3081,44.4315,52.0358,1
37,53,2-盒8下,3894.4619,47.509,2.7183,28.8125,41.3134,1.5631,6.1305,0.9725,226.1054,10.7335,2.2647,45.4054,53.6765,1
37,53,2-盒8下,3894.5869,47.0846,2.6559,28.0735,39.041,1.5659,5.4654,0.8993,232.7287,9.969,2.2691,46.8494,55.5664,1
37,53,2-盒8下,3894.7119,46.718,2.6259,27.4085,38.839,1.6185,5.1141,0.8633,234.8916,9.6872,2.3368,47.8773,57.1899,1
37,53,2-盒8下,3894.8369,46.3241,2.6194,27.1454,41.7503,1.6643,4.8487,0.8343,235.0778,9.5975,2.4378,48.4316,58.8928,1
37,53,2-盒8下,3894.9619,45.9647,2.5595,27.0643,44.1294,1.6662,4.6472,0.807,235.3091,9.5157,2.4843,49.7616,61.5407,1
37,53,2-盒8下,3895.0869,45.6764,2.4204,27.2685,45.5405,1.6971,4.6455,0.8108,234.7228,8.7661,2.4552,51.4083,64.5398,1
37,53,2-盒8下,3895.2119,45.4386,2.2452,27.4355,46.0558,1.7567,4.757,0.8428,233.3544,8.1822,2.3897,52.9632,66.6402,1
37,53,2-盒8下,3895.3369,45.1813,2.127,27.493,45.8369,1.8407,4.8875,0.8855,231.6981,9.0232,2.3775,53.7865,67.4082,1
37,53,2-盒8下,3895.4619,44.9335,2.0862,27.4632,46.167,1.9742,4.955,0.9349,231.133,9.5584,2.4332,52.5424,67.2723,1
37,53,2-盒8下,3895.5869,44.7161,2.0995,27.5249,47.6761,2.0299,4.8292,0.954,232.9545,9.23,2.4862,50.9995,66.6724,1
37,53,2-盒8下,3895.7119,44.4854,2.1265,27.7831,49.1963,2.0453,4.6896,0.9647,237.1282,9.0035,2.4864,50.2975,66.0057,1
37,53,2-盒8下,3895.8369,44.3022,2.1544,27.6683,49.2128,2.1552,4.7344,0.9934,240.8722,9.2098,2.4686,50.1694,66.0546,1
37,53,2-盒8下,3895.9619,44.1248,2.1771,27.3319,45.8804,2.2833,4.8721,1.0172,241.7698,10.6238,2.4583,51.7386,68.1801,1
37,53,2-盒8下,3896.0869,43.9559,2.2214,27.1928,41.1401,2.3122,4.9823,1.0235,240.9515,10.2826,2.4448,54.5574,72.2471,1
37,53,2-盒8下,3896.2119,43.7207,2.2852,27.349,37.8983,2.2814,4.9228,0.9797,238.554,8.9258,2.4036,57.1366,75.6577,1
37,53,2-盒8下,3896.3369,43.482,2.3381,27.3758,36.9385,2.1643,4.7291,0.8993,235.9142,9.16,2.3551,58.3411,77.3569,1
