iter	Passed	Remaining
0	139	139391
1	144	72003
2	150	49906
3	156	39043
4	160	32013
5	165	27370
6	168	23888
7	170	21184
8	173	19068
9	175	17349
10	177	15923
11	178	14724
12	180	13693
13	181	12792
14	182	12008
15	184	11319
16	185	10715
17	186	10176
18	187	9693
19	188	9258
20	190	8867
21	191	8513
22	193	8205
23	194	7906
24	195	7633
25	196	7379
26	198	7152
27	199	6933
28	200	6730
29	202	6543
30	203	6364
31	204	6196
32	206	6036
33	207	5891
34	208	5752
35	209	5621
36	211	5497
37	212	5379
38	213	5269
39	215	5161
40	216	5059
41	217	4968
42	219	4876
43	220	4790
44	221	4706
45	223	4626
46	224	4548
47	225	4473
48	226	4401
49	227	4331
50	229	4271
51	230	4210
52	232	4150
53	233	4091
54	234	4033
55	236	3982
56	237	3928
57	238	3877
58	240	3831
59	241	3784
60	242	3737
61	244	3695
62	245	3651
63	246	3607
64	248	3567
65	249	3529
66	250	3489
67	252	3455
68	253	3418
69	254	3381
70	256	3350
71	257	3316
72	258	3285
73	260	3255
74	261	3223
75	262	3192
76	263	3162
77	265	3133
78	266	3106
79	267	3080
80	269	3053
81	270	3026
82	271	3003
83	273	2978
84	274	2953
85	275	2928
86	276	2905
87	278	2884
88	279	2861
89	280	2839
90	282	2818
91	283	2796
92	284	2775
93	285	2755
94	287	2737
95	288	2719
96	290	2700
97	291	2681
98	292	2661
99	293	2644
100	295	2627
101	296	2610
102	297	2593
103	298	2575
104	300	2558
105	301	2542
106	302	2525
107	303	2509
108	305	2495
109	306	2482
110	308	2468
111	309	2453
112	310	2439
113	312	2424
114	313	2410
115	314	2396
116	315	2382
117	317	2370
118	318	2357
119	319	2343
120	320	2331
121	322	2318
122	323	2305
123	324	2295
124	326	2286
125	328	2275
126	329	2264
127	330	2253
128	332	2242
129	333	2230
130	334	2219
131	335	2208
132	337	2196
133	338	2185
134	339	2174
135	341	2167
136	342	2157
137	343	2146
138	344	2136
139	346	2126
140	347	2116
141	348	2106
142	349	2096
143	351	2086
144	352	2076
145	353	2066
146	354	2057
147	357	2059
148	360	2061
149	362	2052
150	363	2044
151	365	2036
152	366	2028
153	367	2019
154	368	2010
155	370	2005
156	379	2035
157	383	2044
158	387	2047
159	388	2040
160	390	2033
161	391	2027
162	393	2020
163	395	2013
164	396	2006
165	398	2000
166	399	1992
167	401	1986
168	402	1979
169	404	1973
170	405	1965
171	406	1958
172	408	1950
173	409	1943
174	410	1935
175	411	1927
176	412	1920
177	414	1912
178	415	1905
179	417	1899
180	418	1892
181	419	1885
182	420	1878
183	421	1871
184	423	1863
185	424	1857
186	425	1850
187	426	1843
188	427	1836
189	429	1829
190	430	1823
191	431	1817
192	433	1811
193	434	1805
194	435	1798
195	437	1792
196	438	1786
197	439	1780
198	441	1775
199	442	1769
200	443	1763
201	444	1757
202	446	1751
203	448	1748
204	449	1743
205	451	1741
206	453	1736
207	454	1731
208	456	1726
209	457	1721
210	459	1717
211	461	1715
212	463	1711
213	464	1705
214	465	1700
215	467	1695
216	468	1691
217	470	1687
218	472	1683
219	473	1678
220	474	1673
221	476	1669
222	478	1665
223	480	1662
224	481	1658
225	483	1655
226	485	1652
227	486	1648
228	488	1645
229	490	1641
230	492	1638
231	493	1634
232	495	1630
233	496	1626
234	498	1622
235	500	1618
236	501	1615
237	503	1610
238	504	1607
239	506	1602
240	507	1599
241	509	1596
242	511	1593
243	513	1590
244	515	1587
245	516	1583
246	518	1580
247	520	1577
248	521	1573
249	523	1569
250	524	1566
251	526	1563
252	528	1560
253	530	1557
254	531	1553
255	533	1550
256	535	1547
257	536	1544
258	538	1541
259	540	1538
260	542	1535
261	543	1531
262	545	1528
263	546	1524
264	548	1520
265	549	1517
266	551	1514
267	553	1511
268	555	1510
269	557	1508
270	559	1504
271	561	1501
272	562	1497
273	563	1494
274	565	1491
275	567	1487
276	568	1483
277	569	1480
278	571	1476
279	572	1472
280	574	1468
281	575	1465
282	577	1462
283	578	1459
284	580	1456
285	581	1452
286	583	1449
287	585	1446
288	586	1442
289	588	1439
290	590	1438
291	592	1435
292	593	1432
293	595	1429
294	596	1426
295	598	1423
296	599	1419
297	601	1416
298	602	1412
299	604	1409
300	605	1405
301	606	1401
302	607	1398
303	609	1394
304	610	1390
305	611	1387
306	613	1384
307	614	1381
308	616	1377
309	617	1374
310	619	1372
311	620	1368
312	622	1365
313	623	1362
314	624	1358
315	626	1355
316	628	1353
317	629	1349
318	630	1346
319	632	1343
320	633	1339
321	634	1336
322	636	1333
323	637	1329
324	638	1326
325	640	1324
326	642	1322
327	644	1319
328	645	1316
329	646	1312
330	647	1309
331	648	1305
332	650	1302
333	651	1299
334	652	1296
335	654	1293
336	656	1290
337	657	1287
338	658	1283
339	659	1280
340	661	1278
341	662	1275
342	664	1272
343	665	1268
344	666	1265
345	667	1262
346	668	1258
347	670	1255
348	671	1252
349	673	1250
350	674	1247
351	675	1244
352	677	1241
353	678	1238
354	679	1235
355	681	1232
356	682	1228
357	683	1225
358	684	1222
359	686	1219
360	687	1216
361	688	1214
362	690	1211
363	692	1209
364	693	1207
365	695	1204
366	696	1201
367	698	1199
368	700	1197
369	701	1194
370	703	1192
371	704	1189
372	706	1186
373	708	1185
374	709	1182
375	711	1180
376	712	1177
377	713	1174
378	715	1171
379	717	1169
380	718	1167
381	720	1165
382	722	1163
383	723	1160
384	724	1157
385	726	1155
386	727	1153
387	729	1150
388	730	1147
389	732	1145
390	734	1143
391	735	1141
392	737	1139
393	738	1136
394	740	1133
395	741	1131
396	742	1128
397	744	1125
398	745	1123
399	747	1120
400	748	1118
401	750	1116
